subject_name,course_name,language,absolute_course_url
Science Courses,Astronomy: Exploring Time and Space,English,https://www.classcentral.com/course/astro-3007
Science Courses,The Brain and Space,English,https://www.classcentral.com/course/brainspace-1362
Personal Development Courses,Critical Thinking at University: An Introduction,English,https://www.classcentral.com/course/critical-thinking-at-university-12273
Personal Development Courses,"Work Smarter, Not Harder: Time Management for Personal & Professional Productivity",English,https://www.classcentral.com/course/worksmarter-2727
Personal Development Courses, Know Thyself - The Value and Limits of Self-Knowledge: The Examined Life,English,https://www.classcentral.com/course/know-thyself-the-examined-life-432
Personal Development Courses,Inspiring Leadership through Emotional Intelligence,English,https://www.classcentral.com/course/lead-ei-710
Personal Development Courses,Psychology of Personal Growth,English,https://www.classcentral.com/course/edx-psychology-of-personal-growth-8857
Mathematics Courses,Matrix Algebra for Engineers,English,https://www.classcentral.com/course/matrix-algebra-engineers-11986
Art & Design Courses,Introduction to Graphic Design History,English,https://www.classcentral.com/course/kadenze-introduction-to-graphic-design-history-5892
Art & Design Courses,Sound Synthesis Using Reaktor,English,https://www.classcentral.com/course/kadenze-sound-synthesis-using-reaktor-3766
Art & Design Courses,The Modern Genius: Art and Culture in the 19th Century,English,https://www.classcentral.com/course/kadenze-the-modern-genius-art-and-culture-in-the-19th-century-3747
Art & Design Courses,Music's Big Bang: The Genesis of Rock 'n' Roll,English,https://www.classcentral.com/course/musicsbigbang-538
Art & Design Courses,Fundamentals of Audio and Music Engineering: Part 1 Musical Sound & Electronics,English,https://www.classcentral.com/course/audiomusicengpart1-686
Humanities Courses,A Life of Happiness and Fulfillment,English,https://www.classcentral.com/course/happiness-2860
Programming Courses,ANIMATIONs,English,https://www.classcentral.com/course/swayam-animations-13880
Programming Courses,Intro to HTML and CSS,English,https://www.classcentral.com/course/udacity-intro-to-html-and-css-2659
Programming Courses,Driving Speed through Agile Planning,English,https://www.classcentral.com/course/edx-driving-speed-through-agile-planning-11918
Programming Courses,Agile Solutions for Greater Innovation,English,https://www.classcentral.com/course/edx-agile-solutions-for-greater-innovation-11919
Programming Courses,Computing in Python IV: Objects & Algorithms,English,https://www.classcentral.com/course/edx-computing-in-python-iv-objects-algorithms-11472
Programming Courses,Introduction to VBA/Excel Programming,English,https://www.classcentral.com/course/open-education-by-blackboard-introduction-to-vba-excel-programming-1797
Science Courses,Sheep in the Land of Fire and Ice,English,https://www.classcentral.com/course/edx-sheep-in-the-land-of-fire-and-ice-13245
Science Courses,Genes and the Human Condition (From Behavior to Biotechnology),English,https://www.classcentral.com/course/genes-597
Science Courses,Genomic Data Science with Galaxy,English,https://www.classcentral.com/course/gengalaxy-3473
Science Courses,Animal Behaviour and Welfare,English,https://www.classcentral.com/course/animal-1357
Science Courses,An Introduction to Consumer Neuroscience & Neuromarketing ,English,https://www.classcentral.com/course/neuromarketing-1395
Personal Development Courses,Creative Writing: The Craft of Plot,English,https://www.classcentral.com/course/craft-of-plot-5625
Personal Development Courses,Presentation skills: Public Speaking Project,English,https://www.classcentral.com/course/public-speaking-project-9644
Personal Development Courses,Successful Negotiation: Essential Strategies and Skills,English,https://www.classcentral.com/course/successfulnegotiation-2460
Personal Development Courses,Effective Problem-Solving and Decision-Making,English,https://www.classcentral.com/course/probsolve-2721
Personal Development Courses,Happier Employees and Return-On-Investment Course,English,https://www.classcentral.com/course/edx-happier-employees-and-return-on-investment-course-17121
Mathematics Courses,Introduction to Mathematical Thinking,English,https://www.classcentral.com/course/maththink-370
Mathematics Courses,Fibonacci Numbers and the Golden Ratio,English,https://www.classcentral.com/course/fibonacci-6684
Mathematics Courses,Differential Equations for Engineers,English,https://www.classcentral.com/course/differential-equations-engineers-13258
Mathematics Courses,Nonlinear Dynamics: Mathematical and Computational Approaches,English,https://www.classcentral.com/course/complexity-explorer-nonlinear-dynamics-mathematical-and-computational-approaches-1195
Mathematics Courses,Intro to Statistics,English,https://www.classcentral.com/course/udacity-intro-to-statistics-361
Art & Design Courses,"History of Rock, Part Two",English,https://www.classcentral.com/course/historyofrock2-692
Art & Design Courses,An Introduction to Screenwriting,English,https://www.classcentral.com/course/screenwriting-4550
Art & Design Courses,"The Music of the Rolling Stones, 1962-1974",English,https://www.classcentral.com/course/rollingstones-2352
Art & Design Courses,Teaching the Violin and Viola: Creating a Healthy Foundation,English,https://www.classcentral.com/course/teachingstrings-2303
Humanities Courses,English for the Workplace,English,https://www.classcentral.com/course/workplace-english-6911
Humanities Courses,Academic Writing,English,https://www.classcentral.com/course/swayam-academic-writing-13881
Humanities Courses,English in Early Childhood: Language Learning and Development,English,https://www.classcentral.com/course/english-in-early-childhood-6910
Humanities Courses,Modern & Contemporary American Poetry (“ModPo”),English,https://www.classcentral.com/course/modpo-356
Programming Courses,"Responsive Website Basics: Code with HTML, CSS, and JavaScript ",English,https://www.classcentral.com/course/website-coding-4191
Programming Courses,Python for Everybody - Exploring Information,English,https://www.classcentral.com/course/independent-python-for-everybody-exploring-information-7363
Programming Courses,Computing in Python II: Control Structures,English,https://www.classcentral.com/course/edx-computing-in-python-ii-control-structures-11470
Science Courses,Physics-Based Sound Synthesis for Games and Interactive Systems,English,https://www.classcentral.com/course/kadenze-physics-based-sound-synthesis-for-games-and-interactive-systems-3763
Science Courses,Monitoring Volcanoes and Magma Movements,English,https://www.classcentral.com/course/edx-monitoring-volcanoes-and-magma-movements-13227
Science Courses,Introduction to Genomic Technologies,English,https://www.classcentral.com/course/genintro-3472
