subject_name,course_name,course_institution,course_provider,course_duration_raw,course_start,certificate,flexible deadline,language,rank,absolute_course_url
Art & Design Courses,User Research and Design,"{ ""type"": ""Institution"", ""clickMetadata"": {
                                      ""institution"": ""University of Minnesota"",
                                      ""institutionId"": ""50"",
                                      ""tableId"": ""subjectstable"",
                                      ""course"": ""User Research and Design"",
                                      ""provider"": ""Coursera"",
                                      ""providerId"": ""1"",
                                      ""courseId"": ""6924""
                                    }}","{ ""type"": ""Institution"", ""clickMetadata"": {
                                      ""institution"": ""University of Minnesota"",
                                      ""institutionId"": ""50"",
                                      ""tableId"": ""subjectstable"",
                                      ""course"": ""User Research and Design"",
                                      ""provider"": ""Coursera"",
                                      ""providerId"": ""1"",
                                      ""courseId"": ""6924""
                                    }}",Quick View,1/20/2020,1,1,English,20,https://www.classcentral.com/course/design-research-6924
Art & Design Courses,Management of Fashion and Luxury Companies,"{ ""type"": ""Institution"", ""clickMetadata"": {
                                      ""institution"": ""Università Bocconi"",
                                      ""institutionId"": ""229"",
                                      ""tableId"": ""subjectstable"",
                                      ""course"": ""Management of Fashion and Luxury Companies"",
                                      ""provider"": ""Coursera"",
                                      ""providerId"": ""1"",
                                      ""courseId"": ""1374""
                                    }}","{ ""type"": ""Institution"", ""clickMetadata"": {
                                      ""institution"": ""Università Bocconi"",
                                      ""institutionId"": ""229"",
                                      ""tableId"": ""subjectstable"",
                                      ""course"": ""Management of Fashion and Luxury Companies"",
                                      ""provider"": ""Coursera"",
                                      ""providerId"": ""1"",
                                      ""courseId"": ""1374""
                                    }}","3-4 hours a week
                              ,                              6 weeks long
                            ",1/20/2020,1,,English,21,https://www.classcentral.com/course/mafash-1374
Art & Design Courses,Introduction to Ableton Live,"{ ""type"": ""Institution"", ""clickMetadata"": {
                                      ""institution"": ""Berklee College of Music"",
                                      ""institutionId"": ""32"",
                                      ""tableId"": ""subjectstable"",
                                      ""course"": ""Introduction to Ableton Live"",
                                      ""provider"": ""Coursera"",
                                      ""providerId"": ""1"",
                                      ""courseId"": ""2988""
                                    }}","{ ""type"": ""Institution"", ""clickMetadata"": {
                                      ""institution"": ""Berklee College of Music"",
                                      ""institutionId"": ""32"",
                                      ""tableId"": ""subjectstable"",
                                      ""course"": ""Introduction to Ableton Live"",
                                      ""provider"": ""Coursera"",
                                      ""providerId"": ""1"",
                                      ""courseId"": ""2988""
                                    }}","4-6 hours a week
                              ,                              3 weeks long
                            ",1/20/2020,1,,English,22,https://www.classcentral.com/course/abletonlive-2988
Art & Design Courses,Introduction to UI Design,"{ ""type"": ""Institution"", ""clickMetadata"": {
                                      ""institution"": ""University of Minnesota"",
                                      ""institutionId"": ""50"",
                                      ""tableId"": ""subjectstable"",
                                      ""course"": ""Introduction to UI Design"",
                                      ""provider"": ""Coursera"",
                                      ""providerId"": ""1"",
                                      ""courseId"": ""6890""
                                    }}","{ ""type"": ""Institution"", ""clickMetadata"": {
                                      ""institution"": ""University of Minnesota"",
                                      ""institutionId"": ""50"",
                                      ""tableId"": ""subjectstable"",
                                      ""course"": ""Introduction to UI Design"",
                                      ""provider"": ""Coursera"",
                                      ""providerId"": ""1"",
                                      ""courseId"": ""6890""
                                    }}",Quick View,1/27/2020,1,1,English,23,https://www.classcentral.com/course/ui-design-6890
Art & Design Courses,How to Make a Comic Book (Project-Centered Course),"{ ""type"": ""Institution"", ""clickMetadata"": {
                                      ""institution"": ""High Tech High"",
                                      ""institutionId"": ""291"",
                                      ""tableId"": ""subjectstable"",
                                      ""course"": ""How to Make a Comic Book (Project-Centered Course)"",
                                      ""provider"": ""Coursera"",
                                      ""providerId"": ""1"",
                                      ""courseId"": ""5712""
                                    }}","{ ""type"": ""Institution"", ""clickMetadata"": {
                                      ""institution"": ""High Tech High"",
                                      ""institutionId"": ""291"",
                                      ""tableId"": ""subjectstable"",
                                      ""course"": ""How to Make a Comic Book (Project-Centered Course)"",
                                      ""provider"": ""Coursera"",
                                      ""providerId"": ""1"",
                                      ""courseId"": ""5712""
                                    }}",Quick View,1/27/2020,1,1,English,24,https://www.classcentral.com/course/make-comic-books-5712
Art & Design Courses,Introduction to Typography,"{ ""type"": ""Institution"", ""clickMetadata"": {
                                      ""institution"": ""California Institute of the Arts"",
                                      ""institutionId"": ""61"",
                                      ""tableId"": ""subjectstable"",
                                      ""course"": ""Introduction to Typography"",
                                      ""provider"": ""Coursera"",
                                      ""providerId"": ""1"",
                                      ""courseId"": ""5444""
                                    }}","{ ""type"": ""Institution"", ""clickMetadata"": {
                                      ""institution"": ""California Institute of the Arts"",
                                      ""institutionId"": ""61"",
                                      ""tableId"": ""subjectstable"",
                                      ""course"": ""Introduction to Typography"",
                                      ""provider"": ""Coursera"",
                                      ""providerId"": ""1"",
                                      ""courseId"": ""5444""
                                    }}",Quick View,1/20/2020,1,,English,25,https://www.classcentral.com/course/typography-5444
Art & Design Courses,3D Printing Applications,"{ ""type"": ""Institution"", ""clickMetadata"": {
                                      ""institution"": ""University of Illinois at Urbana-Champaign"",
                                      ""institutionId"": ""17"",
                                      ""tableId"": ""subjectstable"",
                                      ""course"": ""3D Printing Applications"",
                                      ""provider"": ""Coursera"",
                                      ""providerId"": ""1"",
                                      ""courseId"": ""5986""
                                    }}","{ ""type"": ""Institution"", ""clickMetadata"": {
                                      ""institution"": ""University of Illinois at Urbana-Champaign"",
                                      ""institutionId"": ""17"",
                                      ""tableId"": ""subjectstable"",
                                      ""course"": ""3D Printing Applications"",
                                      ""provider"": ""Coursera"",
                                      ""providerId"": ""1"",
                                      ""courseId"": ""5986""
                                    }}",Quick View,1/27/2020,1,,English,26,https://www.classcentral.com/course/3d-printing-applications-5986
Art & Design Courses,Graphic Design,"{ ""type"": ""Institution"", ""clickMetadata"": {
                                      ""institution"": ""University of Colorado Boulder"",
                                      ""institutionId"": ""68"",
                                      ""tableId"": ""subjectstable"",
                                      ""course"": ""Graphic Design"",
                                      ""provider"": ""Coursera"",
                                      ""providerId"": ""1"",
                                      ""courseId"": ""6597""
                                    }}","{ ""type"": ""Institution"", ""clickMetadata"": {
                                      ""institution"": ""University of Colorado Boulder"",
                                      ""institutionId"": ""68"",
                                      ""tableId"": ""subjectstable"",
                                      ""course"": ""Graphic Design"",
                                      ""provider"": ""Coursera"",
                                      ""providerId"": ""1"",
                                      ""courseId"": ""6597""
                                    }}",Quick View,1/27/2020,1,1,English,27,https://www.classcentral.com/course/presentation-design-6597
Art & Design Courses,Roman Architecture,"{ ""type"": ""Institution"", ""clickMetadata"": {
                                      ""institution"": ""Yale University"",
                                      ""institutionId"": ""99"",
                                      ""tableId"": ""subjectstable"",
                                      ""course"": ""Roman Architecture"",
                                      ""provider"": ""Coursera"",
                                      ""providerId"": ""1"",
                                      ""courseId"": ""910""
                                    }}","{ ""type"": ""Institution"", ""clickMetadata"": {
                                      ""institution"": ""Yale University"",
                                      ""institutionId"": ""99"",
                                      ""tableId"": ""subjectstable"",
                                      ""course"": ""Roman Architecture"",
                                      ""provider"": ""Coursera"",
                                      ""providerId"": ""1"",
                                      ""courseId"": ""910""
                                    }}","4-8 hours a week
                              ,                              9 weeks long
                            ",1/20/2020,1,,English,28,https://www.classcentral.com/course/romanarchitecture-910
Art & Design Courses,Ideas from the History of Graphic Design,"{ ""type"": ""Institution"", ""clickMetadata"": {
                                      ""institution"": ""California Institute of the Arts"",
                                      ""institutionId"": ""61"",
                                      ""tableId"": ""subjectstable"",
                                      ""course"": ""Ideas from the History of Graphic Design"",
                                      ""provider"": ""Coursera"",
                                      ""providerId"": ""1"",
                                      ""courseId"": ""6497""
                                    }}","{ ""type"": ""Institution"", ""clickMetadata"": {
                                      ""institution"": ""California Institute of the Arts"",
                                      ""institutionId"": ""61"",
                                      ""tableId"": ""subjectstable"",
                                      ""course"": ""Ideas from the History of Graphic Design"",
                                      ""provider"": ""Coursera"",
                                      ""providerId"": ""1"",
                                      ""courseId"": ""6497""
                                    }}",Quick View,1/27/2020,1,1,English,29,https://www.classcentral.com/course/graphic-design-history-6497
Art & Design Courses,So You Think You Know Tango?,"{ ""type"": ""Institution"", ""clickMetadata"": {
                                      ""institution"": ""Emory University"",
                                      ""institutionId"": ""30"",
                                      ""tableId"": ""subjectstable"",
                                      ""course"": ""So You Think You Know Tango?"",
                                      ""provider"": ""Coursera"",
                                      ""providerId"": ""1"",
                                      ""courseId"": ""14410""
                                    }}","{ ""type"": ""Institution"", ""clickMetadata"": {
                                      ""institution"": ""Emory University"",
                                      ""institutionId"": ""30"",
                                      ""tableId"": ""subjectstable"",
                                      ""course"": ""So You Think You Know Tango?"",
                                      ""provider"": ""Coursera"",
                                      ""providerId"": ""1"",
                                      ""courseId"": ""14410""
                                    }}","4-4 hours a week
                              ,                              2 weeks long
                            ",1/27/2020,1,,English,30,https://www.classcentral.com/course/tango-14410
Art & Design Courses,Healing with the Arts,"{ ""type"": ""Institution"", ""clickMetadata"": {
                                      ""institution"": ""University of Florida"",
                                      ""institutionId"": ""36"",
                                      ""tableId"": ""subjectstable"",
                                      ""course"": ""Healing with the Arts"",
                                      ""provider"": ""Coursera"",
                                      ""providerId"": ""1"",
                                      ""courseId"": ""8103""
                                    }}","{ ""type"": ""Institution"", ""clickMetadata"": {
                                      ""institution"": ""University of Florida"",
                                      ""institutionId"": ""36"",
                                      ""tableId"": ""subjectstable"",
                                      ""course"": ""Healing with the Arts"",
                                      ""provider"": ""Coursera"",
                                      ""providerId"": ""1"",
                                      ""courseId"": ""8103""
                                    }}",Quick View,2/3/2020,1,1,English,31,https://www.classcentral.com/course/healing-with-the-arts-8103
Art & Design Courses,Information Design,"{ ""type"": ""Institution"", ""clickMetadata"": {
                                      ""institution"": ""University of California, San Diego "",
                                      ""institutionId"": ""49"",
                                      ""tableId"": ""subjectstable"",
                                      ""course"": ""Information Design"",
                                      ""provider"": ""Coursera"",
                                      ""providerId"": ""1"",
                                      ""courseId"": ""2787""
                                    }}","{ ""type"": ""Institution"", ""clickMetadata"": {
                                      ""institution"": ""University of California, San Diego "",
                                      ""institutionId"": ""49"",
                                      ""tableId"": ""subjectstable"",
                                      ""course"": ""Information Design"",
                                      ""provider"": ""Coursera"",
                                      ""providerId"": ""1"",
                                      ""courseId"": ""2787""
                                    }}",Quick View,1/19/2020,1,1,English,32,https://www.classcentral.com/course/infodesign-2787
