subject_name,course_name,certificate,absolute_course_url
Science Courses,Monitoring Volcanoes and Magma Movements,1,https://www.classcentral.com/course/edx-monitoring-volcanoes-and-magma-movements-13227
Social Sciences Courses,What is a Mind?,1,https://www.classcentral.com/course/what-is-a-mind-3314
Mathematics Courses,Nonlinear Dynamics: Mathematical and Computational Approaches,1,https://www.classcentral.com/course/complexity-explorer-nonlinear-dynamics-mathematical-and-computational-approaches-1195
Mathematics Courses,Bases Matemáticas: Números y terminología,1,https://www.classcentral.com/course/edx-bases-matematicas-numeros-y-terminologia-2955
Mathematics Courses,Introduction to Algebra,1,https://www.classcentral.com/course/edx-introduction-to-algebra-2526
Mathematics Courses,Bayesian Statistics,1,https://www.classcentral.com/course/bayesian-6097
Mathematics Courses,Basic Statistics,1,https://www.classcentral.com/course/basic-statistics-4312
Engineering Courses,Introducción a la energía solar fotovoltaica: El módulo fotovoltaico,1,https://www.classcentral.com/course/edx-introduccion-a-la-energia-solar-fotovoltaica-el-modulo-fotovoltaico-11841
Engineering Courses,Maps and the Geospatial Revolution,1,https://www.classcentral.com/course/maps-676
Engineering Courses,Embedded Systems - Shape The World: Microcontroller Input/Output,1,https://www.classcentral.com/course/edx-embedded-systems-shape-the-world-microcontroller-input-output-1484
Engineering Courses,Fundamentals of GIS,1,https://www.classcentral.com/course/intro-gis-5489
Education & Teaching Courses,Teaching Impacts of Technology: Fundamentals,1,https://www.classcentral.com/course/teach-impacts-technology-fundamentals-11238
Education & Teaching Courses,Ubiquitous Learning and Instructional Technologies,1,https://www.classcentral.com/course/ubiquitouslearning-11068
Health & Medicine Courses,Clinical Terminology for International and U.S. Students,1,https://www.classcentral.com/course/clinicalterminology-839
Health & Medicine Courses,Health Concepts in Chinese Medicine,1,https://www.classcentral.com/course/health-concepts-chinese-medicine-9496
Health & Medicine Courses,Epidemiology: The Basic Science of Public Health,1,https://www.classcentral.com/course/epidemiology-733
Health & Medicine Courses,"Sit Less, Get Active",1,https://www.classcentral.com/course/get-active-5260
Science Courses,Introduction to Genomic Technologies,1,https://www.classcentral.com/course/genintro-3472
Science Courses,Introduction to Physical Chemistry,1,https://www.classcentral.com/course/physicalchemistry-1456
Science Courses,Climate Change Mitigation in Developing Countries,1,https://www.classcentral.com/course/climate-change-mitigation-5054
Science Courses,"Fundamentals of Neuroscience, Part 1: The Electrical Properties of the Neuron",1,https://www.classcentral.com/course/edx-fundamentals-of-neuroscience-part-1-the-electrical-properties-of-the-neuron-942
Social Sciences Courses,Model Thinking,1,https://www.classcentral.com/course/modelthinking-317
Social Sciences Courses,Social Psychology,1,https://www.classcentral.com/course/socialpsychology-555
Social Sciences Courses,EU policy and implementation: making Europe work! ,1,https://www.classcentral.com/course/eu-making-europe-work-7408
Social Sciences Courses,Game Theory,1,https://www.classcentral.com/course/game-theory-1-308
Mathematics Courses,Bases Matemáticas: Derivadas,1,https://www.classcentral.com/course/edx-bases-matematicas-derivadas-2969
Mathematics Courses,Linear Algebra - Foundations to Frontiers,1,https://www.classcentral.com/course/edx-linear-algebra-foundations-to-frontiers-1337
Mathematics Courses,Bases Matemáticas: Álgebra,1,https://www.classcentral.com/course/edx-bases-matematicas-algebra-2968
Mathematics Courses,Linear Algebra,1,https://www.classcentral.com/course/swayam-linear-algebra-7928
Engineering Courses,Control of Mobile Robots,1,https://www.classcentral.com/course/conrob-404
Engineering Courses,Robotics: Aerial Robotics,1,https://www.classcentral.com/course/robotics-flight-5025
Engineering Courses,Introduction to Indoor Air Quality,1,https://www.classcentral.com/course/intro-indoor-air-quality-9706
Health & Medicine Courses,Measuring and Valuing Health,1,https://www.classcentral.com/course/valuing-health-3011
Health & Medicine Courses,"Nutrition, Heart Disease and Diabetes",1,https://www.classcentral.com/course/edx-nutrition-heart-disease-and-diabetes-11592
Health & Medicine Courses,Health Technology Assessment: Choosing Which Treatments Get Funded,1,https://www.classcentral.com/course/hta-4966
Science Courses,"Synapses, Neurons and Brains ",1,https://www.classcentral.com/course/bluebrain-504
Science Courses,AstroTech: The Science and Technology behind Astronomical Discovery,1,https://www.classcentral.com/course/astrotech-1360
Science Courses,Computational Neuroscience,1,https://www.classcentral.com/course/compneuro-449
Science Courses,Gut Check: Exploring Your Microbiome,1,https://www.classcentral.com/course/microbiome-2305
Science Courses,Astrophysics: Cosmology,1,https://www.classcentral.com/course/edx-astrophysics-cosmology-3031
Art & Design Courses,Gamification,1,https://www.classcentral.com/course/gamification-343
Social Sciences Courses,Justice,1,https://www.classcentral.com/course/edx-justice-610
Social Sciences Courses,AP® Microeconomics,1,https://www.classcentral.com/course/edx-ap-microeconomics-8630
Social Sciences Courses,Psychological First Aid,1,https://www.classcentral.com/course/psychfirstaid-2900
Social Sciences Courses,Understanding the GDPR,1,https://www.classcentral.com/course/general-data-protection-regulation-9403
Social Sciences Courses,The Science of Happiness,1,https://www.classcentral.com/course/edx-the-science-of-happiness-1781
Mathematics Courses,Mathematical methods and its applications,1,https://www.classcentral.com/course/swayam-mathematical-methods-and-its-applications-7971
Mathematics Courses,离散数学,1,https://www.classcentral.com/course/discrete-mathematics-ch-8275
Mathematics Courses,Discrete Mathematics,1,https://www.classcentral.com/course/swayam-discrete-mathematics-5217
Mathematics Courses,Linear Regression and Modeling ,1,https://www.classcentral.com/course/linear-regression-model-6098
Engineering Courses,Building a Future with Robots,1,https://www.classcentral.com/course/robotic-future-6721
Engineering Courses,Sports and Building Aerodynamics,1,https://www.classcentral.com/course/spobuildaerodynamics-1392
Engineering Courses,Diode - pn Junction and Metal Semiconductor Contact,1,https://www.classcentral.com/course/diode-pn-junction-metal-semiconductor-co-12134
Engineering Courses,Transistor - Field Effect Transistor and Bipolar Junction Transistor,1,https://www.classcentral.com/course/transistor-field-effect-transistor-bipol-12135
Health & Medicine Courses,Epidemics - the Dynamics of Infectious Diseases,1,https://www.classcentral.com/course/epidemics-678
Health & Medicine Courses,Organ Donation: From Death to Life ,1,https://www.classcentral.com/course/organ-donation-8708
Health & Medicine Courses,Community Change in Public Health,1,https://www.classcentral.com/course/communitychange-397
Health & Medicine Courses,Health Care IT: Challenges and Opportunities,1,https://www.classcentral.com/course/healthcare-it-7664
Science Courses,Command Line Tools for Genomic Data Science,1,https://www.classcentral.com/course/gencommand-3474
Science Courses,Climate Change Science and Negotiations,1,https://www.classcentral.com/course/edx-climate-change-science-and-negotiations-2484
Art & Design Courses,Sustainability in Architecture: An Interdisciplinary Introduction,1,https://www.classcentral.com/course/edx-sustainability-in-architecture-an-interdisciplinary-introduction-11438
Art & Design Courses,How to Write Your First Song,1,https://www.classcentral.com/course/songwriting-3369
Art & Design Courses,Introduction to Real-Time Audio Programming in ChucK,1,https://www.classcentral.com/course/kadenze-introduction-to-real-time-audio-programming-in-chuck-3749
Art & Design Courses,Sound Production in Ableton Live for Musicians and Artists,1,https://www.classcentral.com/course/kadenze-sound-production-in-ableton-live-for-musicians-and-artists-3765
Social Sciences Courses,Terrorism and Counterterrorism: Comparing Theory and Practice,1,https://www.classcentral.com/course/terrorism-701
Social Sciences Courses,Positive Psychology ,1,https://www.classcentral.com/course/positivepsych-2943
Social Sciences Courses,Protecting Business Innovations via Patent,1,https://www.classcentral.com/course/protect-business-innovations-patent-10382
